user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
GCA_002688315.1_ASM268831v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__UBA10216;g__UBA492;s__UBA492 sp002688315	GCA_002688315.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__UBA10216;g__UBA492;s__UBA492 sp002688315	100.0	1.0	GCA_002688315.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__UBA10216;g__UBA492;s__UBA492 sp002688315	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__UBA10216;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	77.09	11	N/A	N/A
GCA_002687825.1_ASM268782v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__ARS1403;g__ARS1403;s__ARS1403 sp002687825	GCA_002687825.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__ARS1403;g__ARS1403;s__ARS1403 sp002687825	100.0	1.0	GCA_002687825.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__ARS1403;g__ARS1403;s__ARS1403 sp002687825	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__ARS1403;g__ARS1403;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002688395.1, s__ARS1403 sp002688395, 95.0, 78.93, 0.2	60.6	11	N/A	N/A
GCA_002688395.1_ASM268839v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__ARS1403;g__ARS1403;s__ARS1403 sp002688395	GCA_002688395.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__ARS1403;g__ARS1403;s__ARS1403 sp002688395	100.0	1.0	GCA_002688395.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__ARS1403;g__ARS1403;s__ARS1403 sp002688395	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__ARS1403;g__ARS1403;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002687825.1, s__ARS1403 sp002687825, 95.0, 76.74, 0.29	51.66	11	N/A	N/A
GCA_002688095.1_ASM268809v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GCA-2688095;g__GCA-2688095;s__GCA-2688095 sp002688095	GCA_002688095.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GCA-2688095;g__GCA-2688095;s__GCA-2688095 sp002688095	100.0	0.8	GCA_002688095.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GCA-2688095;g__GCA-2688095;s__GCA-2688095 sp002688095	100.0	0.8	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	59.0	11	N/A	N/A
GCA_002688355.1_ASM268835v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR20;g__GCA-2688355;s__GCA-2688355 sp002688355	GCA_002688355.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR20;g__GCA-2688355;s__GCA-2688355 sp002688355	100.0	1.0	GCA_002688355.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR20;g__GCA-2688355;s__GCA-2688355 sp002688355	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR20;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	71.25	11	N/A	N/A
GCA_002687815.1_ASM268781v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GCA-2687815;g__GCA-2687815;s__GCA-2687815 sp002687815	GCA_002687815.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GCA-2687815;g__GCA-2687815;s__GCA-2687815 sp002687815	100.0	1.0	GCA_002687815.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GCA-2687815;g__GCA-2687815;s__GCA-2687815 sp002687815	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	64.54	11	N/A	N/A
GCA_002688325.1_ASM268832v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__ARS1178;g__ARS1178;s__ARS1178 sp002688325	GCA_002688325.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__ARS1178;g__ARS1178;s__ARS1178 sp002688325	100.0	1.0	GCA_002688325.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__ARS1178;g__ARS1178;s__ARS1178 sp002688325	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	57.22	11	N/A	N/A
GCA_002687185.1_ASM268718v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GCA-2687185;g__GCA-2687185;s__GCA-2687185 sp002687185	GCA_002687185.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GCA-2687185;g__GCA-2687185;s__GCA-2687185 sp002687185	100.0	1.0	GCA_002687185.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GCA-2687185;g__GCA-2687185;s__GCA-2687185 sp002687185	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	62.84	11	N/A	N/A
GCA_002686355.1_ASM268635v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__ARS1301;s__ARS1301 sp002686355	GCA_002686355.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__ARS1301;s__ARS1301 sp002686355	100.0	1.0	GCA_002686355.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__ARS1301;s__ARS1301 sp002686355	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	49.94	11	N/A	N/A
GCA_002689985.1_ASM268998v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__NP1466;s__NP1466 sp002689985	GCA_002689985.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__NP1466;s__NP1466 sp002689985	100.0	1.0	GCA_002689985.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__NP1466;s__NP1466 sp002689985	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__NP1466;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002731115.1, s__NP1466 sp002731115, 95.0, 85.79, 0.75	47.64	11	N/A	N/A
GCA_002731115.1_ASM273111v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__NP1466;s__NP1466 sp002731115	GCA_002731115.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__NP1466;s__NP1466 sp002731115	100.0	1.0	GCA_002731115.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__NP1466;s__NP1466 sp002731115	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__NP1466;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002689985.1, s__NP1466 sp002689985, 95.0, 85.29, 0.71	51.87	11	N/A	N/A
GCA_002686195.1_ASM268619v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__UBA73;g__ARS23;s__ARS23 sp002686195	GCA_002686195.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__UBA73;g__ARS23;s__ARS23 sp002686195	100.0	1.0	GCA_002686195.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__UBA73;g__ARS23;s__ARS23 sp002686195	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__UBA73;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	45.41	11	N/A	N/A
GCA_002688015.1_ASM268801v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__UBA73;g__ARS1309;s__ARS1309 sp002688015	GCA_002688015.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__UBA73;g__ARS1309;s__ARS1309 sp002688015	100.0	1.0	GCA_002688015.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__UBA73;g__ARS1309;s__ARS1309 sp002688015	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__UBA73;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	49.26	11	N/A	N/A
GCA_002687255.1_ASM268725v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__UBA73;g__ARS50;s__ARS50 sp002687255	GCA_002687255.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__UBA73;g__ARS50;s__ARS50 sp002687255	100.0	1.0	GCA_002687255.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__UBA73;g__ARS50;s__ARS50 sp002687255	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__UBA73;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	50.29	11	N/A	N/A
GCA_002688335.1_ASM268833v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1285;g__ARS1285;s__ARS1285 sp002688335	GCA_002688335.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1285;g__ARS1285;s__ARS1285 sp002688335	100.0	1.0	GCA_002688335.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1285;g__ARS1285;s__ARS1285 sp002688335	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1285;g__ARS1285;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	44.56	11	N/A	N/A
GCA_002688875.1_ASM268887v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1285;g__ARS1285;s__ARS1285 sp002688875	GCA_002688875.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1285;g__ARS1285;s__ARS1285 sp002688875	100.0	1.0	GCA_002688875.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1285;g__ARS1285;s__ARS1285 sp002688875	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1285;g__ARS1285;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002688165.1, s__ARS1285 sp002688165, 95.0, 78.9, 0.04	43.93	11	N/A	N/A
GCA_002688165.1_ASM268816v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1285;g__ARS1285;s__ARS1285 sp002688165	GCA_002688165.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1285;g__ARS1285;s__ARS1285 sp002688165	100.0	1.0	GCA_002688165.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1285;g__ARS1285;s__ARS1285 sp002688165	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1285;g__ARS1285;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	45.34	11	N/A	N/A
GCA_002688415.1_ASM268841v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1160;g__ARS1160;s__ARS1160 sp002688415	GCA_002688415.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1160;g__ARS1160;s__ARS1160 sp002688415	100.0	1.0	GCA_002688415.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1160;g__ARS1160;s__ARS1160 sp002688415	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1160;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	50.62	11	N/A	N/A
GCA_002690445.1_ASM269044v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1160;g__ARS10;s__ARS10 sp002690445	GCA_002690445.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1160;g__ARS10;s__ARS10 sp002690445	100.0	1.0	GCA_002690445.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1160;g__ARS10;s__ARS10 sp002690445	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__ARS1160;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	41.0	11	N/A	N/A
GCA_002686215.1_ASM268621v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__UBA10117;f__ARS21;g__ARS21;s__ARS21 sp002686215	GCA_002686215.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__UBA10117;f__ARS21;g__ARS21;s__ARS21 sp002686215	100.0	1.0	GCA_002686215.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__UBA10117;f__ARS21;g__ARS21;s__ARS21 sp002686215	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__UBA10117;f__ARS21;g__ARS21;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002725495.1, s__ARS21 sp002725495, 95.0, 91.48, 0.03	45.55	11	N/A	N/A
GCA_002725495.1_ASM272549v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__UBA10117;f__ARS21;g__ARS21;s__ARS21 sp002725495	GCA_002725495.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__UBA10117;f__ARS21;g__ARS21;s__ARS21 sp002725495	100.0	1.0	GCA_002725495.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__UBA10117;f__ARS21;g__ARS21;s__ARS21 sp002725495	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__UBA10117;f__ARS21;g__ARS21;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002686215.1, s__ARS21 sp002686215, 95.0, 90.79, 0.12	42.43	11	N/A	N/A
GCA_000008085.1_ASM808v1_cds_from_genomic.fna.fna	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Nanoarchaeales;f__Nanoarchaeaceae;g__Nanoarchaeum;s__Nanoarchaeum equitans	GCA_000008085.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Nanoarchaeales;f__Nanoarchaeaceae;g__Nanoarchaeum;s__Nanoarchaeum equitans	100.0	1.0	GCA_000008085.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Nanoarchaeales;f__Nanoarchaeaceae;g__Nanoarchaeum;s__Nanoarchaeum equitans	100.0	1.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Nanoarchaeales;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	70.92	11	N/A	N/A
